iter	Passed	Remaining
0	1	1361
1	2	1297
2	3	1192
3	5	1254
4	6	1229
5	7	1165
6	8	1141
7	9	1153
8	10	1174
9	11	1176
10	13	1180
11	14	1185
12	16	1232
13	19	1338
14	20	1378
15	22	1371
16	24	1411
17	25	1400
18	26	1389
19	28	1375
20	29	1361
21	30	1367
22	32	1368
23	32	1368
24	32	1368
25	33	1356
26	34	1345
27	35	1336
28	37	1332
29	37	1315
30	39	1310
31	40	1306
32	41	1306
33	42	1297
34	44	1288
35	45	1297
36	46	1293
37	48	1290
38	49	1289
39	50	1285
40	52	1285
41	53	1289
42	54	1281
43	55	1273
44	57	1279
45	58	1271
46	59	1265
47	61	1268
48	62	1260
49	63	1254
50	64	1254
51	66	1253
52	67	1253
53	68	1251
54	69	1246
55	71	1249
56	71	1249
57	72	1243
58	72	1243
59	73	1239
60	74	1235
61	76	1236
62	78	1242
63	79	1246
64	81	1242
65	82	1239
66	83	1236
67	84	1230
68	86	1233
69	87	1227
70	89	1237
71	90	1238
72	92	1238
73	93	1231
74	94	1227
75	95	1225
76	97	1229
77	98	1228
78	99	1223
79	100	1220
80	102	1217
81	102	1217
82	103	1219
83	105	1219
84	106	1214
85	107	1217
86	109	1216
87	110	1210
88	111	1204
89	113	1218
90	114	1215
91	116	1215
92	116	1215
93	117	1209
94	118	1204
95	119	1205
96	121	1201
97	122	1196
98	123	1194
99	123	1194
100	124	1191
101	125	1190
102	127	1187
103	128	1184
104	129	1180
105	131	1183
106	132	1180
107	133	1176
108	134	1172
109	135	1170
110	135	1170
111	136	1167
112	138	1169
113	139	1165
114	140	1162
115	140	1162
116	141	1159
117	142	1157
118	143	1153
119	143	1153
120	145	1150
121	146	1150
122	148	1148
123	149	1147
124	150	1143
125	152	1145
126	153	1145
127	154	1141
128	155	1138
129	156	1137
130	158	1138
131	160	1139
132	161	1136
133	162	1132
134	163	1130
135	164	1130
136	166	1128
137	167	1124
138	168	1121
139	169	1120
140	171	1124
141	172	1122
142	172	1122
143	173	1117
144	174	1115
145	176	1115
146	177	1114
147	177	1114
148	178	1110
149	180	1110
150	181	1109
151	183	1110
152	184	1110
153	186	1108
154	187	1106
155	188	1106
156	190	1104
157	190	1101
158	192	1099
159	193	1100
160	195	1098
161	196	1098
162	197	1095
163	198	1092
164	199	1090
165	201	1090
166	202	1088
167	203	1085
168	204	1083
169	205	1081
170	207	1082
171	209	1081
172	210	1080
173	211	1077
174	212	1076
175	212	1076
176	214	1074
177	214	1070
178	216	1068
179	217	1067
180	218	1066
181	219	1064
182	221	1062
183	222	1060
184	223	1059
185	224	1056
186	226	1056
187	227	1053
188	228	1050
189	229	1048
190	230	1046
191	231	1045
192	232	1043
193	234	1044
194	235	1041
195	236	1039
196	237	1038
197	239	1037
198	240	1035
199	241	1032
200	243	1032
201	245	1034
202	246	1032
203	247	1030
204	248	1027
205	249	1024
206	250	1023
207	251	1021
208	252	1020
209	253	1017
210	254	1015
211	256	1014
212	257	1013
213	259	1014
214	260	1012
215	261	1009
216	262	1007
217	263	1006
218	265	1006
219	266	1003
220	267	1001
221	268	1001
222	270	1000
223	271	998
224	272	997
225	273	995
226	274	993
227	276	991
228	277	989
229	278	988
230	279	985
231	280	983
232	281	982
233	283	982
234	284	981
235	286	980
236	287	977
237	288	976
238	289	975
239	290	973
240	291	971
241	292	969
242	294	968
243	295	967
244	295	967
245	296	964
246	297	962
247	300	965
248	301	963
249	302	962
250	303	960
251	305	959
252	306	958
253	306	958
254	306	958
255	307	954
256	309	953
257	310	952
258	312	952
259	313	949
260	314	947
261	315	947
262	317	948
263	319	947
264	320	945
265	321	943
266	322	942
267	323	940
268	324	938
269	326	937
270	327	935
271	328	934
272	330	933
273	331	931
274	332	930
275	333	929
276	334	927
277	336	926
278	337	925
279	338	923
280	339	921
281	341	920
282	342	919
283	342	919
284	343	917
285	344	915
286	346	914
287	347	913
288	349	913
289	350	911
290	351	909
291	352	908
292	353	906
293	355	906
294	356	904
295	357	902
296	358	900
297	359	898
298	361	897
299	362	896
300	363	894
301	364	893
302	366	892
303	367	891
304	368	890
305	370	889
306	371	887
307	373	887
308	374	885
309	375	884
310	376	882
311	377	881
312	379	879
313	380	878
314	381	877
315	382	876
316	384	874
317	385	872
318	386	871
319	387	870
320	388	868
321	388	868
322	390	866
323	391	865
324	392	864
325	394	862
326	395	860
327	396	859
328	397	858
329	398	856
330	399	854
331	401	855
332	403	853
333	405	854
334	406	853
335	408	853
336	410	853
337	413	855
338	418	862
339	420	861
340	422	861
341	423	861
342	425	860
343	428	861
344	430	862
345	433	864
346	436	866
347	441	872
348	451	887
349	453	888
350	455	888
351	457	887
352	458	886
353	462	888
354	470	899
355	473	902
356	474	900
357	476	899
358	476	899
359	477	896
360	481	899
361	485	903
362	489	906
363	494	911
364	498	914
365	501	915
366	506	920
367	508	921
368	510	920
369	512	919
370	515	921
371	518	921
372	519	920
373	522	921
374	528	928
375	531	928
376	534	929
377	536	929
378	545	941
379	548	942
380	550	941
381	553	942
382	556	943
383	558	942
384	559	940
385	563	942
386	565	942
387	567	941
388	567	941
389	568	937
390	569	935
391	570	933
392	570	933
393	572	929
394	572	926
395	573	924
396	573	924
397	575	920
398	576	918
399	577	916
400	578	914
401	579	912
402	581	910
403	582	908
404	583	906
405	584	904
406	585	901
407	586	899
408	588	898
409	588	898
410	590	896
411	591	894
412	592	892
413	593	889
414	594	887
415	595	885
416	597	883
417	597	883
418	598	880
419	599	878
420	600	876
421	602	874
422	602	874
423	602	870
424	604	868
425	605	866
426	606	863
427	607	861
428	608	859
429	609	857
430	611	856
431	612	854
432	613	853
433	614	851
434	615	848
435	616	846
436	617	844
437	618	842
438	620	840
439	621	838
440	622	836
441	623	834
442	624	832
443	626	830
444	627	829
445	627	829
446	628	825
447	629	823
448	630	821
449	631	819
450	633	817
451	634	815
452	635	813
453	636	812
454	638	811
455	639	809
456	640	807
457	641	805
458	642	802
459	643	800
460	644	799
461	646	797
462	647	795
463	649	794
464	649	794
465	650	791
466	651	788
467	652	787
468	653	785
469	654	783
470	655	781
471	655	781
472	657	778
473	658	776
474	659	775
475	659	775
476	661	771
477	662	769
478	663	767
479	664	765
480	665	763
481	666	762
482	667	760
483	669	759
484	670	757
485	670	757
486	670	757
487	671	752
488	672	750
489	673	748
490	674	746
491	674	746
492	676	743
493	677	742
494	678	740
495	679	738
496	681	736
497	682	735
498	683	733
499	684	731
500	685	729
501	686	727
502	688	726
503	688	726
504	690	723
505	691	721
506	692	719
507	693	717
508	694	716
509	695	714
510	697	713
511	697	711
512	699	709
513	700	707
514	701	706
515	703	704
516	704	702
517	705	701
518	706	699
519	707	697
520	708	695
521	708	695
522	710	692
523	711	690
524	712	689
525	713	687
526	715	686
527	716	684
528	717	682
529	718	681
530	720	679
531	721	677
532	722	675
533	723	674
534	724	672
535	725	671
536	728	670
537	729	668
538	730	666
539	731	664
540	732	663
541	734	661
542	735	659
543	736	658
544	737	656
545	738	655
546	740	653
547	741	651
548	742	649
549	743	648
550	744	646
551	745	644
552	746	643
553	748	641
554	750	640
555	751	639
556	753	638
557	754	636
558	755	634
559	756	632
560	757	631
561	758	629
562	759	627
563	760	625
564	762	624
565	763	622
566	765	621
567	767	620
568	768	618
569	769	617
570	771	616
571	772	614
572	774	613
573	774	613
574	775	610
